,News Agency,Tweets Ago,Date,Compound,Positive,Neutral,Negative,Tweet
80,@BBCNews,81,Fri Mar 30 04:16:54 +0000 2018,-0.8689,0.0,0.62,0.38,Thousands of violent crime suspects released without conditions https://t.co/LMck4KzAkb
81,@BBCNews,82,Fri Mar 30 03:11:21 +0000 2018,-0.3182,0.0,0.204,0.796,MPs urge Corbyn to suspend Shawcroft amid anti-Semitism row https://t.co/DZCVVLaZb8
82,@BBCNews,83,Fri Mar 30 01:40:18 +0000 2018,0.0,0.0,0.0,1.0,Prince of Wales 'deeply moved' in televised Easter message https://t.co/rXXzRn4dqj
83,@BBCNews,84,Fri Mar 30 01:24:45 +0000 2018,0.0,0.0,0.0,1.0,'Sugar baby' students sell their company to fund studies https://t.co/sRqrG7mWLV
84,@BBCNews,85,Fri Mar 30 01:21:46 +0000 2018,0.0,0.0,0.0,1.0,Manchester Arena bombing: Compulsory first aid training call https://t.co/xwuXAa3VKG
85,@BBCNews,86,Fri Mar 30 00:31:09 +0000 2018,0.0,0.0,0.0,1.0,Car hire cost clean-up continues https://t.co/eYHB4QL0NZ
86,@BBCNews,87,Thu Mar 29 23:15:57 +0000 2018,-0.4215,0.0,0.286,0.714,Hospital's 'artificial feeding' letter to mothers criticised https://t.co/KVsmjNLQM9
87,@BBCNews,88,Thu Mar 29 23:11:05 +0000 2018,0.0,0.0,0.0,1.0,'Unjustifiably high salaries' paid by some academies https://t.co/hg4n6eosCR
88,@BBCNews,89,Thu Mar 29 21:57:31 +0000 2018,-0.7096,0.0,0.33,0.67,"Friday's Guardian: ""Outcry as GKN falls to hostile takeover"" #tomorrowspaperstoday #bbcpapers (via @hendopolis) https://t.co/igAZYWQxUX"
89,@BBCNews,90,Thu Mar 29 21:53:27 +0000 2018,-0.3818,0.0,0.167,0.833,"Friday's Sun: ""We’ll fight each other on the beaches"" #tomorrowspaperstoday #bbcpapers (via @hendopolis) https://t.co/qFcyw2jYhB"
90,@BBCNews,91,Thu Mar 29 21:51:15 +0000 2018,-0.5423,0.0,0.259,0.741,"Friday's Mirror: ""Poison spy daughter talks"" #tomorrowspaperstoday #bbcpapers (via @hendopolis)  https://t.co/gjbdG6dTDB"
91,@BBCNews,92,Thu Mar 29 21:50:32 +0000 2018,-0.6369,0.0,0.296,0.704,"Friday's Mail: ""An abuse of capitalism"" #tomorrowspaperstoday #bbcpapers (via @hendopolis) https://t.co/dfp3IjhZHS"
92,@BBCNews,93,Thu Mar 29 21:49:55 +0000 2018,-0.4215,0.0,0.177,0.823,"Friday's Times: ""Ministers waste tens of millions on pledges"" #tomorrowspaperstoday #bbcpapers (via @hendopolis) https://t.co/66cDp53S93"
93,@BBCNews,94,Thu Mar 29 21:48:34 +0000 2018,-0.7269,0.124,0.378,0.498,"Friday's Telegraph: ""63 violent criminals paroled like Worboys"" #tomorrowspaperstoday #bbcpapers (via @hendopolis) https://t.co/U48okCcJtR"
94,@BBCNews,95,Thu Mar 29 21:47:50 +0000 2018,0.4767,0.214,0.092,0.694,"Friday's Express: ""Teacher wins £250k for falling off desk"" #tomorrowspaperstoday #bbcpapers (via @hendopolis) https://t.co/xABYDXMEq3"
95,@BBCNews,96,Thu Mar 29 21:17:49 +0000 2018,0.0,0.0,0.0,1.0,RT @BBCPolitics: The Prime Minister has told the BBC that Brexit will mean there is extra money available to spend on the NHS and schools.…
96,@BBCNews,97,Thu Mar 29 20:25:17 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBCSport: The ball-tampering bans given to Steve Smith, David Warner and Cameron Bancroft contain ""glaring anomalies"", according to the…"
97,@BBCNews,98,Thu Mar 29 19:16:39 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBCSport: How does this compare to your ""light day"" menu? 🧐🙈

See what it takes to feed, maintain and train Anthony Joshua.

More 👉 htt…"
98,@BBCNews,99,Thu Mar 29 19:13:47 +0000 2018,-0.1406,0.0,0.063,0.937,"RT @BBCEngland: Clifton College said the victim felt it was not an anti-Semitic act but a campaign group said the act would have been ""trau…"
99,@BBCNews,100,Thu Mar 29 19:07:51 +0000 2018,0.2732,0.301,0.211,0.488,Disabled woman wins BA flight refund battle https://t.co/xXeholSJM9
100,@CBSNews,1,Sat Mar 31 15:40:01 +0000 2018,0.0,0.0,0.0,1.0,"President Trump's administration has frozen $200 million earmarked for Syria recovery efforts, CBS News confirms… https://t.co/OFQw4PG2qm"
